CLIENTNUM,Attrition_Flag,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_Inactive_12_mon,Credit_Limit,Total_Revolving_Bal,Total_Trans_Amt
768805383,Existing Customer,45,M,3,High School,Married,$60K - $80K,Blue,1,12691,777,1144
818770008,Existing Customer,49,F,5,Graduate,Single,Less than $40K,Blue,1,8256,864,1291
713982108,Existing Customer,51,M,3,Graduate,Married,$80K - $120K,Blue,1,3418,0,1887
769911858,Existing Customer,40,F,4,High School,,Less than $40K,Blue,4,3313,2517,1171
709106358,Existing Customer,40,M,3,Uneducated,Married,$60K - $80K,Blue,1,4716,0,816
713061558,Existing Customer,44,M,2,Graduate,Married,$40K - $60K,Blue,1,4010,1247,1088
810347208,Existing Customer,51,M,4,,Married,$120K +,Gold,1,34516,2264,1330
818906208,Existing Customer,32,M,0,High School,,$60K - $80K,Silver,2,29081,1396,1538
710930508,Existing Customer,37,M,3,Uneducated,Single,$60K - $80K,Blue,2,22352,2517,1350
719661558,Existing Customer,48,M,2,Graduate,Single,$80K - $120K,Blue,3,11656,1677,1441
708790833,Existing Customer,42,M,5,Uneducated,,$120K +,Blue,3,6748,1467,1201
710821833,Existing Customer,65,M,1,,Married,$40K - $60K,Blue,2,9095,1587,1314
710599683,Existing Customer,56,M,1,College,Single,$80K - $120K,Blue,6,11751,0,1539
816082233,Existing Customer,35,M,3,Graduate,,$60K - $80K,Blue,1,8547,1666,1311
712396908,Existing Customer,57,F,2,Graduate,Married,Less than $40K,Blue,2,2436,680,1570
714885258,Existing Customer,44,M,4,,,$80K - $120K,Blue,1,4234,972,1348
709967358,Existing Customer,48,M,4,Post-Graduate,Single,$80K - $120K,Blue,2,30367,2362,1671
753327333,Existing Customer,41,M,3,,Married,$80K - $120K,Blue,4,13535,1291,1028
806160108,Existing Customer,61,M,1,High School,Married,$40K - $60K,Blue,2,3193,2517,1336
709327383,Existing Customer,45,F,2,Graduate,Married,,Blue,1,14470,1157,1207
806165208,Existing Customer,47,M,1,Doctorate,Divorced,$60K - $80K,Blue,2,20979,1800,1178
708508758,Attrited Customer,62,F,0,Graduate,Married,Less than $40K,Blue,3,1438.3,0,692
784725333,Existing Customer,41,M,3,High School,Married,$40K - $60K,Blue,2,4470,680,931
811604133,Existing Customer,47,F,4,,Single,Less than $40K,Blue,3,2492,1560,1126
789124683,Existing Customer,54,M,2,,Married,$80K - $120K,Blue,2,12217,0,1110
771071958,Existing Customer,41,F,3,Graduate,Single,Less than $40K,Blue,1,7768,1669,1051
720466383,Existing Customer,59,M,1,High School,,$40K - $60K,Blue,1,14784,1374,1197
804424383,Existing Customer,63,M,1,,Married,$60K - $80K,Blue,3,10215,1010,1904
718813833,Existing Customer,44,F,3,Uneducated,Single,,Blue,2,10100,0,1052
806624208,Existing Customer,47,M,4,High School,Married,$40K - $60K,Blue,0,4785,1362,1045
778348233,Existing Customer,53,M,3,,Married,$80K - $120K,Blue,2,2753,1811,1038
712991808,Existing Customer,53,M,2,Uneducated,Married,$60K - $80K,Blue,5,2451,1690,1596
709029408,Existing Customer,41,M,4,Graduate,Married,$60K - $80K,Blue,1,8923,2517,1589
788658483,Existing Customer,53,F,2,College,Married,Less than $40K,Blue,2,2650,1490,1411
787937058,Existing Customer,58,M,0,Graduate,Married,$80K - $120K,Blue,2,12555,1696,1291
715318008,Existing Customer,55,F,1,College,Single,Less than $40K,Blue,2,3520,1914,1407
713962233,Existing Customer,55,F,3,Graduate,Married,Less than $40K,Blue,2,3035,2298,1877
785432733,Existing Customer,42,F,4,High School,Married,Less than $40K,Gold,3,15433,0,966
715190283,Existing Customer,57,F,1,Graduate,,$40K - $60K,Blue,3,3672,886,1464
708300483,Attrited Customer,66,F,0,Doctorate,Married,,Blue,4,7882,605,704
827111283,Existing Customer,45,M,3,Graduate,Single,$80K - $120K,Blue,2,32426,578,1109
758551608,Existing Customer,51,M,2,,Married,$40K - $60K,Blue,1,6205,2204,1347
773146383,Existing Customer,50,F,1,College,Single,$40K - $60K,Silver,2,17304,2517,1756
778493808,Existing Customer,49,M,3,High School,Married,$60K - $80K,Blue,2,3906,0,1756
720572508,Existing Customer,38,F,4,Graduate,Single,,Blue,3,9830,2055,1042
712661433,Existing Customer,49,M,4,Uneducated,Single,$80K - $120K,Blue,2,34516,0,1444
789172683,Existing Customer,56,M,2,Doctorate,Married,$60K - $80K,Blue,2,2283,1430,1741
738406533,Existing Customer,59,M,1,Doctorate,Married,$40K - $60K,Blue,2,2548,2020,1719
799723908,Existing Customer,46,M,3,High School,Married,$80K - $120K,Blue,3,19458,1435,1217
771490833,Existing Customer,52,M,1,College,Single,$80K - $120K,Blue,1,4745,1227,1140
720756708,Existing Customer,52,F,3,,Married,Less than $40K,Blue,3,2622,1549,1878
779471883,Attrited Customer,54,F,1,Graduate,Married,Less than $40K,Blue,3,1438.3,808,705
711525033,Existing Customer,66,F,0,High School,Married,Less than $40K,Blue,4,3171,2179,1946
712813458,Existing Customer,49,M,2,,Married,$120K +,Blue,2,19763,2517,1414
714374133,Attrited Customer,56,M,2,Graduate,Married,$120K +,Blue,3,15769,0,602
717891558,Existing Customer,49,F,4,Graduate,,Less than $40K,Blue,4,3298,2200,1052
716632758,Existing Customer,49,F,3,Graduate,Single,Less than $40K,Blue,2,2802,2363,1295
768563658,Existing Customer,56,M,2,Uneducated,Married,$40K - $60K,Blue,2,4458,1880,1424
711427458,Existing Customer,44,F,5,Graduate,Married,,Blue,1,6273,978,1359
714091983,Existing Customer,42,M,2,High School,Single,$60K - $80K,Blue,4,3336,1753,1168
787584108,Existing Customer,55,M,3,,Married,$80K - $120K,Blue,2,3436,2016,1097
712030833,Attrited Customer,48,M,2,Graduate,Married,$60K - $80K,Silver,4,34516,0,691
711481533,Existing Customer,39,M,1,High School,Divorced,$60K - $80K,Blue,3,5926,1251,1316
710082708,Existing Customer,44,M,4,Post-Graduate,Single,$120K +,Blue,4,23957,2102,1276
708155733,Existing Customer,53,M,2,High School,Single,$120K +,Blue,2,14734,1634,1289
788979258,Existing Customer,51,M,4,Uneducated,Single,$80K - $120K,Silver,1,34516,1515,1293
